Category,Count
of: property,4
fs,15
thermal: int3400,2
ASoC: doc,3
x86/microcode/AMD,3
exfat,10
Merge branch 'next' into for-linus,1
netlink,5
net: microchip,1
tg3,1
selftests,6
rust: alloc,1
docs: rust,1
rust: allow `clippy,1
mailbox: pcc,1
mailbox: Switch back to struct platform_driver,1
mailbox: imx,1
mailbox: arm_mhuv2,1
mailbox: zynqmp,1
dt-bindings: mailbox,5
mailbox,1
mailbox: mtk-cmdq,1
mailbox: ti-msgmgr,2
mailbox: qcom-cpucp,2
mailbox: mtk-cmdq-mailbox,1
mailbox: mpfs,1
i2c: designware,10
dt-bindings: i2c,8
i2c: qup,1
selftests/alsa,1
rcupdate_trace,1
powerpc-6.13-1,1
mm-stable-2024-11-18-19-27,1
f2fs,31
MIPS: Loongson64,1
6.13-rc-part1-SMB3-client-fixes,1
ovl-update-6.13,1
unicode-next-6.13,1
sysctl-6.13-rc1,1
iommu-updates-v6.13,2
thermal-6.13-rc1-2,1
pm-6.13-rc1-2,1
tpmdd-next-6.13-rc1,1
mtd/for-6.13,1
clk-for-linus,1
backlight-next-6.13,1
leds-next-6.13,1
mfd-next-6.13,1
linux_kselftest-kunit-6.13-rc1-fixed,1
perf tests,3
perf tests hwmon_pmu,1
perf/test,1
perf bpf-filter,1
trace-v6.13,1
trace-tools-v6.13,1
trace-ring-buffer-v6.13,1
x86_tdx_for_6.13-rc1,1
x86_misc_for_6.13-rc1,1
x86_sgx_for_6.13-rc1,1
cxl-for-6.13,1
ACPI,2
Merge branch 'pm-cpuidle',1
ACPI: x86,4
"m68k: mvme147, mvme16x",1
docs,5
docs/licensing,1
docs: core-api/gfp_mask-from-fs-io,1
Documentation: kernel-doc,1
Documentation: pwrseq,1
Documentation: filesystems,1
net/9p/usbg,2
9p/xen,2
Fix a potential abuse of seq_printf() format string in drivers,1
gpio: mpsse,2
fs/proc/kcore.c,2
drm/rockchip,1
sched-core-2024-11-18,2
tpm: atmel,1
drm-next-2024-11-21,1
char: tpm,3
tpm: ibmvtpm,1
sound-6.13-rc1,1
i2c-for-6.13-rc1,1
"Revert ""drm/radeon",1
drm/amdgpu/jpeg,1
drm/amdgpu/vcn,1
drm/amdgpu/gmc7,1
dma-mapping-6.13-2024-11-19,1
configfs-6.13-2024-11-19,1
jfs-6.13,1
dlm-6.13,1
nvme-6.13-2024-11-21,1
fsnotify_for_v6.13-rc1,1
reiserfs_delete,1
for_v6.13-rc1,1
xfs-6.13-merge-1,1
erofs-for-6.13-rc1,1
CIFS,1
smb/client,1
net-next-6.13,1
drm/xe/ufence,3
"Revert ""f2fs",1
bpf-next-6.13,1
nand/for-6.13,1
PCI/pwrctl,5
regulator: core,5
io_uring/nop,2
ASoC: apple,1
ASoC: imx-audmix,1
spi-imx,1
KVM: riscv,2
dt-bindings: riscv,5
s390/entry,2
s390/cpum_sf,8
s390/vfio-ap,2
s390/stacktrace,1
s390/debug,1
ALSA: pcm,2
ALSA: docs,3
kvmarm-fixes-6.13-1,1
statmount,4
"Merge patch series ""iomap",1
fscache,1
iomap,7
gpio: exar,1
gpio: altera,2
gpio: zevio,1
"Merge patch series ""scsi: ufs",1
scsi: target,2
scsi: megaraid_sas,1
scsi: lpfc,12
scsi: bfa,3
scsi: message,1
scsi: qla1280,1
Merge branch '6.12/scsi-fixes' into 6.13/scsi-staging,2
soc-arm-6.13,1
soc-defconfig-6.13,1
soc-drivers-6.13,1
soc-dt-6.13,1
asm-generic-3.13,1
microblaze-v6.13,1
ipe-pr-20241119,1
mips: dts,3
seccomp-v6.13-rc1,1
efi-next-for-v6.13,1
platform-drivers-x86-v6.13-1,1
media/v6.13-2,1
media/v6.13-1,1
hid-for-linus-2024111801,1
devicetree-for-6.13,1
auxdisplay-v6.13-1,1
mmc-v6.13,1
pmdomain-v6.13,1
pwrseq-updates-for-v6.13-rc1,1
gpio-updates-for-v6.13-rc1,1
pwm/for-6.13-rc1,1
spi-v6.13,1
tools: PCI,1
regulator-v6.13,1
regmap-v6.13,1
linux_kselftest-next-6.13-rc1,1
kgdb-6.13-rc1,1
ftrace-v6.13,1
rust: jump_label,1
slab,1
sched_ext-for-6.13,1
cgroup-for-6.13,1
wq-for-6.13,1
probes-v6.13,1
livepatching-for-6.13,1
printk-for-6.13,1
docs-6.13,1
drm/radeon,3
drm/amdgpu/pm,1
io_uring/region,2
drm/amd/display: allow chroma 1,1
ALSA: ac97,1
dm-verity,2
dm-bufio,2
dm thin,1
dm vdo,4
dm vdo int-map,1
dm-vdo,1
dm-vdo murmurhash,1
dm ioctl,1
dm: zoned,1
dm cache,9
ovl,10
selftests/mount_setattr,2
Input,36
block: blk-mq,1
"Revert ""block, bfq",1
timers-core-2024-11-18,1
"Revert ""KVM: VMX",1
timers-vdso-2024-11-18,1
irq-core-2024-11-18,1
core-debugobjects-2024-11-18,1
x86-mm-2024-11-18,1
x86-cleanups-2024-11-18,1
x86-splitlock-2024-11-18,1
kunit: qemu_configs,2
kunit: tool,3
kunit: debugfs,1
kunit,1
